order_id,order_date,item_id,item_name,category,price
1,2023-01-01,109,Korean Beef Bowl,Asian,17.95
2,2023-01-01,108,Tofu Pad Thai,Asian,14.5
2,2023-01-01,124,Spaghetti,Italian,14.5
2,2023-01-01,117,Chicken Burrito,Mexican,12.95
2,2023-01-01,129,Mushroom Ravioli,Italian,15.5
2,2023-01-01,106,French Fries,American,7.0
3,2023-01-01,117,Chicken Burrito,Mexican,12.95
3,2023-01-01,119,Chicken Torta,Mexican,11.95
4,2023-01-01,117,Chicken Burrito,Mexican,12.95
5,2023-01-01,117,Chicken Burrito,Mexican,12.95
6,2023-01-01,101,Hamburger,American,12.95
6,2023-01-01,114,Potstickers,Asian,9.0
7,2023-01-01,123,Chips & Guacamole,Mexican,9.0
8,2023-01-01,123,Chips & Guacamole,Mexican,9.0
9,2023-01-01,108,Tofu Pad Thai,Asian,14.5
9,2023-01-01,126,Fettuccine Alfredo,Italian,14.5
9,2023-01-01,110,Pork Ramen,Asian,17.95
9,2023-01-01,117,Chicken Burrito,Mexican,12.95
9,2023-01-01,117,Chicken Burrito,Mexican,12.95
9,2023-01-01,129,Mushroom Ravioli,Italian,15.5
9,2023-01-01,122,Chips & Salsa,Mexican,7.0
9,2023-01-01,130,Shrimp Scampi,Italian,19.95
9,2023-01-01,132,Eggplant Parmesan,Italian,16.95
10,2023-01-01,129,Mushroom Ravioli,Italian,15.5
10,2023-01-01,105,Mac & Cheese,American,7.0
11,2023-01-01,101,Hamburger,American,12.95
11,2023-01-01,102,Cheeseburger,American,13.95
11,2023-01-01,102,Cheeseburger,American,13.95
11,2023-01-01,113,Edamame,Asian,5.0
12,2023-01-01,102,Cheeseburger,American,13.95
12,2023-01-01,102,Cheeseburger,American,13.95
12,2023-01-01,104,Veggie Burger,American,10.5
12,2023-01-01,117,Chicken Burrito,Mexican,12.95
13,2023-01-01,129,Mushroom Ravioli,Italian,15.5
14,2023-01-01,114,Potstickers,Asian,9.0
15,2023-01-01,107,Orange Chicken,Asian,16.5
15,2023-01-01,124,Spaghetti,Italian,14.5
15,2023-01-01,121,Cheese Quesadillas,Mexican,10.5
15,2023-01-01,114,Potstickers,Asian,9.0
16,2023-01-01,125,Spaghetti & Meatballs,Italian,17.95
16,2023-01-01,111,California Roll,Asian,11.95
16,2023-01-01,106,French Fries,American,7.0
17,2023-01-01,101,Hamburger,American,12.95
17,2023-01-01,116,Steak Tacos,Mexican,13.95
17,2023-01-01,124,Spaghetti,Italian,14.5
17,2023-01-01,125,Spaghetti & Meatballs,Italian,17.95
17,2023-01-01,117,Chicken Burrito,Mexican,12.95
17,2023-01-01,127,Meat Lasagna,Italian,17.95
17,2023-01-01,128,Cheese Lasagna,Italian,15.5
17,2023-01-01,129,Mushroom Ravioli,Italian,15.5
17,2023-01-01,118,Steak Burrito,Mexican,14.95
17,2023-01-01,131,Chicken Parmesan,Italian,17.95
18,2023-01-01,111,California Roll,Asian,11.95
19,2023-01-01,110,Pork Ramen,Asian,17.95
19,2023-01-01,120,Steak Torta,Mexican,13.95
20,2023-01-01,107,Orange Chicken,Asian,16.5
20,2023-01-01,124,Spaghetti,Italian,14.5
21,2023-01-01,110,Pork Ramen,Asian,17.95
22,2023-01-01,124,Spaghetti,Italian,14.5
22,2023-01-01,110,Pork Ramen,Asian,17.95
22,2023-01-01,105,Mac & Cheese,American,7.0
23,2023-01-01,105,Mac & Cheese,American,7.0
24,2023-01-01,101,Hamburger,American,12.95
24,2023-01-01,110,Pork Ramen,Asian,17.95
24,2023-01-01,113,Edamame,Asian,5.0
24,2023-01-01,119,Chicken Torta,Mexican,11.95
25,2023-01-01,120,Steak Torta,Mexican,13.95
25,2023-01-01,106,French Fries,American,7.0
26,2023-01-01,108,Tofu Pad Thai,Asian,14.5
26,2023-01-01,132,Eggplant Parmesan,Italian,16.95
27,2023-01-01,101,Hamburger,American,12.95
27,2023-01-01,108,Tofu Pad Thai,Asian,14.5
27,2023-01-01,131,Chicken Parmesan,Italian,17.95
28,2023-01-01,103,Hot Dog,American,9.0
29,2023-01-01,126,Fettuccine Alfredo,Italian,14.5
30,2023-01-01,106,French Fries,American,7.0
31,2023-01-01,129,Mushroom Ravioli,Italian,15.5
31,2023-01-01,113,Edamame,Asian,5.0
32,2023-01-01,107,Orange Chicken,Asian,16.5
32,2023-01-01,126,Fettuccine Alfredo,Italian,14.5
32,2023-01-01,110,Pork Ramen,Asian,17.95
32,2023-01-01,117,Chicken Burrito,Mexican,12.95
33,2023-01-01,101,Hamburger,American,12.95
33,2023-01-01,126,Fettuccine Alfredo,Italian,14.5
34,2023-01-01,114,Potstickers,Asian,9.0
35,2023-01-01,126,Fettuccine Alfredo,Italian,14.5
35,2023-01-01,112,Salmon Roll,Asian,14.95
35,2023-01-01,113,Edamame,Asian,5.0
35,2023-01-01,106,French Fries,American,7.0
36,2023-01-01,101,Hamburger,American,12.95
36,2023-01-01,108,Tofu Pad Thai,Asian,14.5
37,2023-01-01,117,Chicken Burrito,Mexican,12.95
37,2023-01-01,129,Mushroom Ravioli,Italian,15.5
38,2023-01-01,109,Korean Beef Bowl,Asian,17.95
38,2023-01-01,110,Pork Ramen,Asian,17.95
39,2023-01-01,117,Chicken Burrito,Mexican,12.95
40,2023-01-01,125,Spaghetti & Meatballs,Italian,17.95
40,2023-01-01,105,Mac & Cheese,American,7.0
41,2023-01-01,125,Spaghetti & Meatballs,Italian,17.95
41,2023-01-01,126,Fettuccine Alfredo,Italian,14.5
42,2023-01-01,107,Orange Chicken,Asian,16.5
42,2023-01-01,124,Spaghetti,Italian,14.5
42,2023-01-01,129,Mushroom Ravioli,Italian,15.5
42,2023-01-01,118,Steak Burrito,Mexican,14.95
43,2023-01-01,103,Hot Dog,American,9.0
43,2023-01-01,117,Chicken Burrito,Mexican,12.95
43,2023-01-01,118,Steak Burrito,Mexican,14.95
44,2023-01-01,130,Shrimp Scampi,Italian,19.95
45,2023-01-01,125,Spaghetti & Meatballs,Italian,17.95
45,2023-01-01,109,Korean Beef Bowl,Asian,17.95
45,2023-01-01,106,French Fries,American,7.0
46,2023-01-01,104,Veggie Burger,American,10.5
46,2023-01-01,108,Tofu Pad Thai,Asian,14.5
46,2023-01-01,106,French Fries,American,7.0
47,2023-01-01,105,Mac & Cheese,American,7.0
47,2023-01-01,132,Eggplant Parmesan,Italian,16.95
48,2023-01-01,104,Veggie Burger,American,10.5
48,2023-01-01,126,Fettuccine Alfredo,Italian,14.5
48,2023-01-01,119,Chicken Torta,Mexican,11.95
48,2023-01-01,122,Chips & Salsa,Mexican,7.0
49,2023-01-01,120,Steak Torta,Mexican,13.95
51,2023-01-01,101,Hamburger,American,12.95
51,2023-01-01,112,Salmon Roll,Asian,14.95
52,2023-01-01,109,Korean Beef Bowl,Asian,17.95
52,2023-01-01,129,Mushroom Ravioli,Italian,15.5
52,2023-01-01,122,Chips & Salsa,Mexican,7.0
53,2023-01-01,112,Salmon Roll,Asian,14.95
53,2023-01-01,123,Chips & Guacamole,Mexican,9.0
